"Family","Representative_model","Why_tested","Decision","Temporal_RMSE","Action_RMSE"
"Naive benchmark","Naive prior-year mean growth","Uses only the training-year mean gain so every selected model must beat a simple planning baseline.","Compared; not selected by temporal expected-gain RMSE.","5.066","4.960"
"Direct growth linear baselines","Growth linear benchmark","Directly predicts BOY/EOY score gain from starting profile and context.","Compared; not selected by temporal expected-gain RMSE.","4.698","4.683"
"History/composition parametric models","Growth history-composition model","Adds multi-year student history and section composition so the expected-growth baseline uses the available operating context.","Compared; not selected by temporal expected-gain RMSE.","1552.513","4.616"
"Feature-engineered parametric model","Growth feature discovery model","Searches leakage-safe transformed features, thresholds, multi-year history, and interactions in one parametric specification.","Compared; not selected by temporal expected-gain RMSE.","1886.280","4.693"
"Direct growth polynomial terms","Growth polynomial degree 2","Tests whether increasing parametric curvature improves validated growth prediction.","Compared; not selected by temporal expected-gain RMSE.","2381.096","4.627"
"Natural spline regression","Growth spline history model","Tests smooth but interpretable nonlinear effects using natural spline basis functions.","Compared; not selected by temporal expected-gain RMSE.","2719.341","4.578"
"Direct growth interaction surfaces","Growth cyclic interaction model","Tests whether baseline score, readiness, track, attendance, and year effects vary together.","Compared; not selected by temporal expected-gain RMSE.","2437.263","4.617"
"GAM smooths","Growth GAM k4","Uses smooth nonlinear functions for baseline, readiness, attendance, and year effects.","Compared; not selected by temporal expected-gain RMSE.","2756.755","4.617"
"Regularized regression","Growth lasso","Uses regularization to search higher-dimensional history and interaction terms while controlling overfit.","Selected operating family.","4.663","4.693"
"Regression trees","Growth regression tree 1","Tests simple non-parametric threshold rules.","Compared; not selected by temporal expected-gain RMSE.","4.933","4.832"
"Random forests","Growth random forest 1","Tests a flexible non-parametric tree ensemble without teacher, course ID, or section ID effects.","Compared; not selected by temporal expected-gain RMSE.","6.458","5.645"
"Ranger forests","Growth ranger forest 1","Tests a faster tuned random forest implementation when the optional ranger package is available.","Compared; not selected by temporal expected-gain RMSE.","4.740","4.685"
"Gradient boosting","Growth gradient boosting 1","Tests boosted trees for nonlinear interactions without persistent ID effects.","Compared; not selected by temporal expected-gain RMSE.","4.702","4.727"
"Adaptive spline MARS","Growth MARS 2","Tests multivariate adaptive regression splines for automatic hinge and interaction discovery.","Compared; not selected by temporal expected-gain RMSE.","4.725","4.618"
"Validation ensembles","Growth ensemble discovery weighted","Tests whether averaging the best nonlinear and parametric growth shapes stabilizes future-year prediction.","Compared; not selected by temporal expected-gain RMSE.","554.389","4.646"
"Stacked validation ensemble","Growth stacked ensemble","Tests whether an out-of-fold learned blend improves on hand-weighted model averages.","Compared; not selected by temporal expected-gain RMSE.","721.566","4.594"
"Future planning benchmark","Growth future planning benchmark","Tests lagged teacher/course context for future planning but excludes it from same-year judgment selection.","Compared; not selected by temporal expected-gain RMSE.","1891.148","4.712"
"EOY-derived benchmarks","EOY interaction benchmark","Predicts final EOY score first, then converts it to expected gain; benchmark only because growth is the business target.","Compared; not selected by temporal expected-gain RMSE.","2437.169","4.616"
"Teacher/course ID leakage check","Teacher/course leakage benchmark","Shows what happens when teacher or course IDs are included; excluded from operations because they absorb review signals.","Excluded from operating selection; persistent IDs would contaminate future review signals.","2436.990","4.658"
